打印行	 println
实例	sample
标本	sample
斑点	mark
记号	mark
标明	mark
戳子	stamp
邮票	stamp
标志	stamp
计量器	meter
计	meter
表	meter
选举	vote
投票	vote
表决	vote
说明	demonstrate
论证	demonstrate
表露	demonstrate
断言	declare
声明	declare
表明	declare
标示	indicate
表示	indicate
表明	indicate
指示	indication
表示	indication
表明	indication
给	show
看	show
表明	show
外套	coat
上衣	coat
表皮	coat
词句	expression
表达	expression
表情	expression
其它	else
另外	else
别的	else
针	pin
饰针	pin
别住	pin
冰	ice
冰块	ice
冰镇	ice
野营	camp
营地	camp
兵营	camp
病	disease
疾病	disease
病害	disease
情况	case
事实	case
病例	case
钟面	dial
拨号盘	dial
拨	dial
波	wave
波涛	wave
波动	wave
乐队	band
带	band
波段	band
烟囱	chimney
烟筒	chimney
玻璃罩	chimney
拒绝	reject
丢掉	reject
驳回	reject
医生	doctor
医师	doctor
博士	doctor
补钉	patch
碎片	patch
补缀	patch
永不	never
决不	never
不	never
无	without
没有	without
不	without
错误的	wrong
错	wrong
不对	wrong
失败	fail
失灵	fail
不能	fail
恨	hate
憎恨	hate
不喜欢	hate
反对	objection
异议	objection
不喜欢	objection
忧虑	distress
悲伤	distress
不幸	distress
不足	shortage
缺少	shortage
不足额	shortage
比	portion
比率	portion
部分	portion
薄片	slice
切片	slice
部分	slice
单位	unit
单元	unit
部件	unit
切片	section
一段	section
部门	section
省	vince
领域	vince
部门	vince
推论	infer
推断	infer
猜想	infer
怀疑	suspicion
疑心	suspicion
猜疑	suspicion
命运	fortune
运气	fortune
财产	fortune
货币	money
金钱	money
财富	money
财政	finance
金融	finance
财源	finance
掘	dig
挖	dig
采掘	dig
收养	adopt
采用	adopt
采取	adopt
拾	pick
摘	pick
采摘	pick
餐馆	restaurant
饭店	restaurant
菜馆	restaurant
碟	dish
盘子	dish
菜肴	dish
菜单	menu
饭菜	menu
菜肴	menu
走进	enter
进入	enter
参加	enter
小刀	knife
刀	knife
餐刀	knife
悲剧	tragedy
惨事	tragedy
惨案	tragedy
坦克	tank
大容器	tank
槽	tank
草地	lawn
草坪	lawn
草场	lawn
草	grass
牧草	grass
草地	grass
急速	haste
急忙	haste
草率	haste
便利	convenience
方便	convenience
厕所	convenience
俯瞰	survey
检查	survey
测量	survey
甲板	deck
舱面	deck
层面	deck
茶	tea
茶叶	tea
茶树	tea
探明	locate
找出	locate
查出	locate
错误	error
谬误	error
差错	error
缺口	gap
间隔	gap
差距	gap
添加	add
附加	add
掺加	add
援助	assist
帮助	assist
搀扶	assist
制造	manufacture
产品	manufacture
创造	create
引起	create
产生	create
一代	generation
一代人	generation
产生	generation
水桶	bucket
吊桶	bucket
铲斗	bucket
陈述	state
说明	state
阐明	state
试	try
审问	try
尝试	try
院子	yard
庭院	yard
场地	yard
地点	site
地基	site
场所	site
超过	exceed
胜过	exceed
超出	exceed
在	over
上方	over
超过	over
潮	tide
潮汐	tide
潮流	tide
商店	shop
店铺	shop
车间	shop
避免	avoid
躲开	avoid
撤消	avoid
雾	fog
烟雾	fog
尘雾	fog
标题	title
题目	title
称号	title
价格	cost
代价	cost
成本	cost
继	succeed
之后	succeed
成功	succeed
凯旋	triumph
胜利	triumph
成功	triumph
水果	fruit
果实	fruit
成果	fruit
结果	outcome
后果	outcome
成果	outcome
完成	achievement
成就	achievement
成绩	achievement
得分	score
比数	score
成绩	score
交易	bargain
议价	bargain
成交	bargain
假定	assume
承担	assume
呈现	assume
接受	acceptance
验收	acceptance
承认	acceptance
认出	recognition
识别	recognition
承认	recognition
认识	recognize
认出	recognize
承认	recognize
镇	town
市镇	town
城镇	town
广度	extent
范围	extent
程度	extent
节目单	gram
大纲	gram
程序	gram
天平	scale
磅秤	scale
秤	scale
已经	have
有	have
吃	have
吃	eat
喝	eat
吃饭	eat
坚持	persist
固执	persist
持续	persist
衡量	measurement
测量	measurement
尺寸	measurement
大小	size
体积	size
尺码	size
翼	wing
翅膀	wing
翅	wing
推进	urge
催促	urge
冲动	urge
影响	impact
作用	impact
冲击	impact
注射	injection
注入	injection
充满	injection
重的	heavy
大的	heavy
充满的	heavy
礼拜	worship
崇拜	worship
损坏	spoil
糟蹋	spoil
宠坏	spoil
憎恶	hatred
憎恨	hatred
仇恨	hatred
公布	publish
发表	publish
出版	publish
公布	publication
出版	publication
出版物	publication
离开	depart
起程	depart
出发	depart
分娩	birth
出生	birth
出身	birth
起源	origin
由来	origin
出身	origin
来	come
来到	come
出现	come
租金	rent
租	rent
出租	rent
杂草	weed
野草	weed
除草	weed
移动	removal
迁移	removal
除掉	removal
分	division
分配	division
除法	division
相隔	apart
分开	apart
除去	apart
救	save
节省	save
储蓄	save
罚	punish
惩罚	punish
处罚	punish
管理	management
经营	management
处理	management
触摸	touch
触动	touch
触	touch
通讯	communicate
传达	communicate
传播	communicate
传送	convey
运送	convey
传播	convey
伸开	spread
传播	spread
介绍	introduce
引进	introduce
传入	introduce
故事	story
小说	story
传说	story
携带	carry
运载	carry
传送	carry
谣言	rumour
谣传	rumour
传闻	rumour
痛的	sore
恼火的	sore
疮	sore
窗子	window
窗户	window
窗口	window
建筑	build
建立	build
创立	build
父亲	father
神父	father
创始人	father
组成	compose
构成	compose
创作	compose
车间	workshop
工场	workshop
创作室	workshop
吹	blow
吹动	blow
吹响	blow
锤	hammer
榔头	hammer
锤击	hammer
圆盘	disc
唱片	disc
磁盘	disc
圆盘	disk
唱片	disk
磁盘	disk
磁铁	magnet
磁石	magnet
磁体	magnet
再者	moreover
加之	moreover
此外	moreover
连续	sequence
继续	sequence
次序	sequence
在	after
以后	after
次于	after
刺	sting
刺痛	sting
连续	series
系列	series
丛书	series
带来	bring
引出	bring
促使	bring
冲	rush
奔	rush
催促	rush
记忆	memory
回忆	memory
存储	memory
资金	fund
基金	fund
存款	fund
搭救	saving
节约	saving
存款	saving
供应	vision
预备	vision
存粮	vision
发生	occur
出现	occur
存在	occur
战胜	defeat
击败	defeat
挫败	defeat
完成	achieve
实现	achieve
达到	achieve
到达	arrive
来临	arrive
达到	arrive
到	to
向	to
达到	to
钥匙	key
键	key
答案	key
敲	knock
击	knock
打	knock
打	beat
敲	beat
打败	beat
点	dot
圆点	dot
打点于	dot
破坏	destroy
消灭	destroy
打破	destroy
渔民	fisherman
渔夫	fisherman
打鱼人	fisherman
型	type
类型	type
打字	type
秘书	secretary
书记	secretary
大臣	secretary
轮廓	outline
略图	outline
大纲	outline
林荫道	avenue
道路	avenue
大街	avenue
羊群	flock
群	flock
大量	flock
丰富	plenty
充足	plenty
大量	plenty
军队	troop
一群	troop
大量	troop
物体	bulk
容积	bulk
大批	bulk
标度	scale
比例	scale
大小	scale
价格	price
价钱	price
代价	price
经办	agency
代理	agency
代理处	agency
准则	code
法典	code
代码	code
代替人	substitute
用	substitute
代替	substitute
缎带	ribbon
丝带	ribbon
带	ribbon
棚	shed
小屋	shed
贷棚	shed
神经	nerve
勇敢	nerve
胆量	nerve
勇气	courage
胆量	courage
胆识	courage
枪弹	bullet
子弹	bullet
弹丸	bullet
饼	cake
糕	cake
蛋糕	cake
一定	certainly
必定	certainly
当然	certainly
其时	meantime
其间	meantime
当时	meantime
选举	election
选择权	election
当选	election
边缘	edge
边	edge
刀口	edge
航行	navigation
航海术	navigation
导航	navigation
指导者	director
理事	director
导演	director
导游者	guide
给	guide
导游	guide
向后的	backward
倒的	backward
倒	backward
变得	get
成为	get
到达	get
到达	arrival
到来	arrival
到达者	arrival
路	path
小道	path
道路	path
祝贺	congratulate
向	congratulate
道喜	congratulate
益处	fit
利润	fit
得益	fit
每一的	every
每隔	every
的	every
旧的	used
习惯于	used
的	used
评价	evaluate
估	evaluate
的价	evaluate
完全	quite
相当	quite
的确	quite
广告	advertisement
公告	advertisement
登广告	advertisement
插入	insert
嵌入	insert
登载	insert
预料	expect
预期	expect
等待	expect
等	wait
等候	wait
等待	wait
给	grade
分等级	grade
等级	grade
包含	contain
容纳	contain
等于	contain
低的	low
矮的	low
低下的	low
在	under
下面	under
低于.	under
敌人	enemy
仇敌	enemy
敌兵	enemy
抵抗	resistance
抵制	resistance
抵抗力	resistance
气候	climate
风土	climate
地带	climate
隧道	tunnel
坑道	tunnel
地道	tunnel
点	spot
斑点	spot
地点	spot
方言	dialect
土语	dialect
地方话	dialect
地球	globe
世界	globe
地界仪	globe
矿	mine
矿山	mine
地雷	mine
地球	earth
陆地	earth
地面	earth
八	eight
八个	eight
第八	eight
四	four
四个	four
第四	four
五	five
五个	five
第五	five
称	weigh
的重量	weigh
掂量	weigh
极点	pole
磁极	pole
电极	pole
电	electricity
电学	electricity
电流	electricity
炉	stove
火炉	stove
电炉	stove
提起	lift
提高	lift
电梯	lift
金属线	wire
电缆	wire
电信	wire
地主	landlord
房东	landlord
店主	landlord
席子	mat
草席	mat
垫子	mat
挂	hang
悬	hang
吊死	hang
鱼	fish
鱼肉	fish
钓鱼	fish
盘	tray
托盘	tray
碟	tray
屋顶	roof
车顶	roof
顶	roof
顶	top
首位	top
顶的	top
钉	nail
指甲	nail
定义	definition
释义	definition
定界	definition
懂	understand
获悉	understand
懂得	understand
移动	move
感动	move
动	move
动物	animal
兽	animal
动物的	animal
柱	pillar
柱子	pillar
栋梁	pillar
争论	conflict
冲突	conflict
斗争	conflict
战争	war
冲突	war
斗争	war
停留	stay
住	stay
逗留	stay
毒	poison
毒药	poison
毒害	poison
读	read
看懂	read
读者	reader
读物	reader
读本	reader
读	reading
阅读	reading
读书	reading
听众	audience
观众	audience
读者	audience
小说	fiction
虚构	fiction
杜撰	fiction
经过	pass
通过	pass
度过	pass
用钱	spend
花费	spend
度过	spend
堆	stack
垛	stack
堆积	stack
培养	train
列车	train
队列	train
管理	manage
设法	manage
对付	manage
比赛	compete
竞争	compete
对抗	compete
对手	opponent
敌手	opponent
对抗者	opponent
横过	across
在	across
对面	across
比赛	match
竞赛	match
对手	match
倚在	against
逆	against
对着	against
也许	perhaps
可能	perhaps
多半	perhaps
怎么	how
怎样	how
多少	how
捕获	capture
俘获	capture
夺得	capture
抓住	seize
逮捕	seize
夺取	seize
步	pace
步速	pace
踱步	pace
好感	favour
赞同	favour
恩惠	favour
仁慈	mercy
慈悲	mercy
恩惠	mercy
小孩	child
儿童	child
儿子	child
当	while
的时候	while
而	while
还	yet
已经	yet
而	yet
电话	phone
电话机	phone
耳机	phone
宣布	announce
宣告	announce
发表	announce
投递	deliver
送交	deliver
发表	deliver
散发	emit
发射	emit
发表	emit
释放	release
放松	release
发表	release
发射	launch
投射	launch
发动	launch
问题	issue
发行	issue
传送	transmission
传动	transmission
发射	transmission
传送	transmit
传达	transmit
发射	transmit
声音	sound
响	sound
发声	sound
发射	shoot
射中	shoot
发芽	shoot
进化	evolution
演化	evolution
发展	evolution
法律	law
法令	law
法则	law
翻译	translate
译	translate
烦恼	trouble
困难	trouble
代替	instead
顶替	instead
反而	instead
镜子	mirror
反映	mirror
反射	mirror
回授	feedback
反馈	feedback
反应	feedback
问候	greet
招呼	greet
反应	greet
反射	reflection
映象	reflection
反映	reflection
反射	reflexion
映象	reflexion
反映	reflexion
罪	crime
罪行	crime
犯罪	crime
稻	rice
米	rice
饭	rice
限度	limit
限制	limit
范围	limit
球	sphere
圆体	sphere
范围	sphere
地区	zone
区域	zone
范围	zone
路	way
路线	way
方向	way
言语	speech
演说	speech
方言	speech
干涉	interfere
干预	interfere
妨碍	interfere
障碍	obstacle
障碍物	obstacle
妨害	obstacle
模仿	imitate
仿效	imitate
仿制	imitate
织	weave
编	weave
纺织	weave
扩大	enlarge
扩展	enlarge
放大	enlarge
兽群	herd
牧群	herd
放牧	herd
眺望	overlook
看漏	overlook
放任	overlook
蝇	fly
苍蝇	fly
飞行	fly
高度地	highly
很	highly
非常	highly
这样	so
这么	so
非常	so
批评	criticize
评论	criticize
非难	criticize
脂肪	fat
肥肉	fat
肥胖的	fat
垃圾	rubbish
废物	rubbish
废话	rubbish
泡	bubble
冒泡	bubble
沸腾	bubble
索价	charge
控告	charge
费用	charge
花费	expense
消费	expense
费用	expense
分发	distribute
分送	distribute
分布	distribute
分发	distribution
分配	distribution
分布	distribution
餐叉	fork
叉	fork
分叉	fork
分	divide
分配	divide
分开	divide
树枝	branch
分部	branch
分科	branch
分类	classification
分级	classification
分类法	classification
量	measure
测量	measure
分量	measure
量	quantity
数量	quantity
分量	quantity
投递	delivery
交付	delivery
分娩	delivery
差别	difference
差	difference
分歧	difference
小部分	fraction
片断	fraction
分数	fraction
参与	participate
参加	participate
分享	participate
面粉	flour
粉	flour
粉状物质	flour
财富	wealth
财产	wealth
丰富	wealth
看	view
视力	view
风景	view
样子	fashion
方式	fashion
风尚	fashion
味	flavour
味道	flavour
风味	flavour
封蜡	seal
印记	seal
封	seal
信封	envelope
封套	envelope
封皮	envelope
修理	mend
修补	mend
缝补	mend
矛盾	contradiction
不一致	contradiction
否认	contradiction
女服	dress
童装	dress
服装	dress
标签	label
标记	label
符号	label
宽度	breadth
幅度	breadth
幅面	breadth
放射	radiation
发射	radiation
辐射能	radiation
光线	ray
射线	ray
辐射线	ray
跳水	dive
潜水	dive
俯冲	dive
腐烂	decay
衰败	decay
税	tax
税款	tax
负担	tax
装	load
装满	load
负载	load
加	addition
加法	addition
附加物	addition
围住	enclose
圈起	enclose
附上	enclose
抄件	copy
抄写	copy
复制	copy
保证	ensure
保护	ensure
赋予	ensure
转变	conversion
转化	conversion
改变	conversion
改进	imvement
改善	imvement
改进处	imvement
译文	version
说法	version
改写本	version
改变	alter
变更	alter
改做	alter
盖	cover
包括	cover
盖子	cover
略图	sketch
速写	sketch
概略	sketch
感激	gratitude
感谢	gratitude
感恩	gratitude
欣赏	appreciate
领会	appreciate
感谢	appreciate
谢谢	thank
感谢	thank
高的	high
高级的	high
高	high
高	altitude
高度	altitude
高处	altitude
高	height
高度	height
高处	height
塔	tower
屹立	tower
高耸	tower
歌唱	song
歌曲	song
歌词	song
特别	especially
尤其	especially
格外	especially
特别	particularly
尤其	particularly
格外	particularly
各	each
各自	each
买卖	deal
待遇	deal
给予	deal
支付	pay
付给	pay
给予	pay
底	bottom
底部	bottom
根基	bottom
地	ground
场地	ground
根据	ground
痕迹	trace
丝毫	trace
跟踪	trace
痕迹	trail
小径	trail
跟踪	trail
犁	plough
耕	plough
工人	workman
劳动者	workman
工匠	workman
方法	means
手段	means
工具	means
工作	work
职业	work
长凳	bench
条凳	bench
工作台	bench
忍受	tolerance
容忍	tolerance
公差	tolerance
路	road
道路	road
公路	road
社区	community
社会	community
公社	community
部长	minister
大臣	minister
公使	minister
商行	firm
商号	firm
公司	firm
花园	garden
菜园	garden
公园	garden
习俗	convention
惯例	convention
公约	convention
联结	bond
联系	bond
公债	bond
长处	merit
优点	merit
功过	merit
行动	action
作用	action
功能	action
稳定	stability
稳定性	stability
巩固	stability
总数	sum
金额	sum
共计	sum
同情	sympathize
同感	sympathize
共鸣	sympathize
容纳	accommodate
供应	accommodate
供给	accommodate
提供	vide
装备	vide
供给	vide
支撑	support
支持	support
供养	support
钩	hook
挂钩	hook
钩住	hook
包含	comprise
包括	comprise
构成	comprise
框架	frame
框子	frame
构架	frame
章程	constitution
体质	constitution
构造	constitution
建造	construct
建设	construct
构筑	construct
估计	estimate
评价	estimate
计算	compute
估计	compute
估算	compute
伯母	aunt
婶母	aunt
姑母	aunt
原料	stock
库存品	stock
股本	stock
份	share
份额	share
股份	share
灰	ash
灰末	ash
骨灰	ash
炉子	furnace
熔炉	furnace
鼓风炉	furnace
缺点	fault
过失	fault
故障	fault
受雇者	employee
雇员	employee
雇工	employee
仆人	servant
佣人	servant
雇工	servant
租借	hire
租用	hire
雇用	hire
关上	shut
闭上	shut
关闭	shut
接头	joint
接缝	joint
关节	joint
关心	concern
挂念	concern
关系	concern
认为	consider
考虑	consider
关心	consider
注意	observation
观察	observation
观察力	observation
透视	perspective
远景	perspective
观点	perspective
运河	canal
沟渠	canal
管	canal
器官	organ
机构	organ
管风琴	organ
规则	regulation
规章	regulation
管理	regulation
使用	usage
对待	usage
惯用法	usage
水	water
使湿	water
灌溉	water
照耀	shine
发光	shine
光	shine
宽的	broad
阔的	broad
广泛的	broad
罐子	jar
坛子	jar
广口瓶	jar
档案	file
把	file
归档	file
欠	owe
应把	owe
归功于	owe
责备	blame
把	blame
归咎于	blame
行踪	track
路径	track
轨道	track
计划	scheme
规划	scheme
诡计	scheme
鬼	ghost
灵魂	ghost
鬼魂	ghost
女士	lady
夫人	lady
贵妇人	lady
跪	kneel
跪下	kneel
跪着	kneel
滚柱	roller
滚筒	roller
滚轴	roller
决定	decision
决心	decision
果断	decision
程序	cedure
手续	cedure
过程	cedure
超越	excess
过量	excess
过度	excess
乘客	passenger
旅客	passenger
过路人	passenger
甚至	even
甚至更	even
还	even
习惯	custom
风俗	custom
海关	custom
图	chart
图表	chart
海图	chart
害怕	fear
担心	fear
犹豫	hesitate
踌躇	hesitate
含糊	hesitate
功能	function
职务	function
函数	function
街	street
街道	street
行车道	street
活动	activity
活力	activity
行动	activity
骗取	cheat
哄	cheat
行骗	cheat
欺骗	deceive
蒙蔽	deceive
行骗	deceive
行动	act
见效	act
行为	act
履行	performance
演出	performance
行为	performance
工艺	craft
手艺	craft
行业	craft
帆	sail
船	sail
航行	sail
优点	advantage
优势	advantage
好处	advantage
名誉	reputation
名声	reputation
好名声	reputation
数	number
数字	number
号码	number
排去	drain
放水	drain
耗竭	drain
总数	amount
数量	amount
和	amount
调合	harmony
协调	harmony
和谐	harmony
海滩	beach
湖滩	beach
河滩	beach
好	well
完全地	well
嘿	well
最多的	most
最	most
很	most
烤	roast
炙	roast
烘	roast
炉	oven
灶	oven
烘箱	oven
诡计	trick
窍门	trick
哄骗	trick
吼叫	roar
呼喊	roar
吼	roar
雷	thunder
打雷	thunder
吼出	thunder
脚后跟	heel
踵	heel
后跟	heel
风	wind
气息	wind
呼吸	wind
不顾	ignore
不理	ignore
忽视	ignore
出席	attend
照顾	attend
护理	attend
照管	tend
照料	tend
护理	tend
王冠	crown
冕	crown
花冠	crown
滑	slide
使滑动	slide
冰鞋	skate
滑冰	skate
结合	combination
联合	combination
化合	combination
画	picture
图片	picture
刷子	brush
毛刷	brush
画笔	brush
题目	topic
论题	topic
话题	topic
怀疑	doubt
疑虑	doubt
有病的	ill
坏的	ill
坏	ill
邪恶	evil
祸害	evil
坏的	evil
状况	condition
状态	condition
环境	condition
安装	setting
调整	setting
环境	setting
圈	loop
环	loop
环孔	loop
容易	ease
舒适	ease
缓和	ease
引起	arouse
唤起	arouse
唤醒	arouse
醒	wake
醒来	wake
唤醒	wake
说谎	lie
欺骗	lie
谎话	lie
重获	recovery
痊愈	recovery
恢复	recovery
在后	back
回原处	back
回	back
毁灭	ruin
废墟	ruin
毁坏	ruin
聚集	meeting
会合	meeting
会见	meeting
门厅	hall
过道	hall
会堂	hall
主席	chairman
议长	chairman
会长	chairman
总统	president
校长	president
会长	president
画	paint
油漆	paint
绘画	paint
漆工	painter
画家	painter
绘画者	painter
图画	drawing
素描	drawing
绘图	drawing
结婚	marriage
婚姻	marriage
婚礼	marriage
契约	contract
合同	contract
婚约	contract
居住	live
活	live
活的	live
粉末	powder
药粉	powder
火药	powder
人	fellow
家伙	fellow
伙伴	fellow
赚得	earn
挣得	earn
获得	earn
打	hit
碰撞	hit
击	hit
小屋	cabin
船舱	cabin
机舱	cabin
发动机	engine
引擎	engine
机车	engine
组织	organization
团体	organization
机构	organization
范围	scope
余地	scope
机会	scope
舰队	fleet
船队	fleet
机群	fleet
技工	mechanic
机械	mechanic
机修工	mechanic
小鸡	chicken
小鸟	chicken
鸡肉	chicken
基础	base
底层	base
基地	base
贵族	lord
上帝	lord
基督	lord
基础	foundation
地基	foundation
基金	foundation
情感	emotion
感情	emotion
激动	emotion
动	stir
拨动	stir
激动	stir
促动	motivate
激励	motivate
激发	motivate
刺激	stimulate
激励	stimulate
激发	stimulate
或	or
或者	or
即	or
中心	centre
中枢	centre
集中	centre
夫妇	couple
对	couple
几个	couple
乳	milk
牛奶	milk
挤	milk
计算	calculate
估计	calculate
计划	calculate
计算	count
数	count
计数	count
象征	symbol
符号	symbol
记号	symbol
记录	record
履历	record
头脑	mind
理智	mind
记忆	mind
记得	remember
想起	remember
记住	remember
时代	era
年代	era
纪元	era
技术	technique
技巧	technique
技能	technique
艺术	art
美术	art
技术	art
工艺学	technology
工艺	technology
技术	technology
连续	succession
继任	succession
继承	succession
过程	cess
工序	cess
加工	cess
增援	reinforce
支援	reinforce
加强	reinforce
燃料	fuel
给	fuel
加燃料	fuel
盐	salt
盐类	salt
加盐于	salt
油	oil
石油	oil
加油于	oil
牛	cattle
牲口	cattle
家畜	cattle
生物	creature
动物	creature
家畜	creature
男孩	boy
少年	boy
家伙	boy
关系	relation
联系	relation
家属	relation
家	home
家乡	home
家庭的	home
家庭	household
户	household
家务	household
家	family
家庭	family
家族	family
假日	holiday
节日	holiday
假期	holiday
比率	rate
速度	rate
价格	rate
值	worth
的	worth
价值	worth
间隔	interval
休息	interval
间距	interval
检查	check
制止	check
检查	inspect
审查	inspect
检阅	inspect
剪	shear
剥夺	shear
减少	reduce
减小	reduce
简化	reduce
图解	diagram
图表	diagram
简图	diagram
观点	viewpoint
看法	viewpoint
见解	viewpoint
地平线	horizon
眼界	horizon
见识	horizon
感官	sense
感觉	sense
见识	sense
创立	found
创办	found
建立	found
暗示	hint
示意	hint
建议	hint
结构	structure
构造	structure
建造	structure
建筑物	building
大楼	building
建筑	building
建造	construction
建筑	construction
建筑物	construction
船	ship
海船	ship
舰	ship
认出	identify
识别	identify
鉴定	identify
眼睛	eye
眼力	eye
鉴赏力	eye
糊	paste
酱	paste
浆湖	paste
发出	utter
说	utter
讲	utter
平台	platform
站台	platform
讲台	platform
杯子	cup
杯	cup
奖杯	cup
桩	stake
赌金	stake
奖品	stake
下沉	sink
下垂	sink
降低	sink
交换	exchange
交流	exchange
通讯	communication
传达	communication
交通	communication
交通	traffic
通行	traffic
交通量	traffic
贸易	trade
职业	trade
交易	trade
女裙	skirt
边缘	skirt
郊区	skirt
模子	mould
模型	mould
浇铸	mould
胶	glue
胶水	glue
胶合	glue
聚焦	focus
注视	focus
焦点	focus
号角	horn
警报器	horn
角	horn
性格	character
特性	character
角色	character
哭	cry
哭泣	cry
叫喊	cry
汽车	car
小汽车	car
轿车	car
教堂	church
礼拜堂	church
教会	church
戏院	theatre
戏剧	theatre
教室	theatre
讲	teach
教育	teach
教书	teach
方法	method
办法	method
教学法	method
命令	instruction
教学	instruction
教训	instruction
文化	culture
文明	culture
教养	culture
教育	education
训导	education
教育学	education
舞台	stage
戏剧	stage
阶段	stage
班	class
班级	class
阶级	class
收到	receive
得到	receive
接待	receive
向	toward
对于	toward
接近	toward
拿来	fetch
请来	fetch
接去	fetch
接待	reception
招待会	reception
接受	reception
展现	reveal
揭示	reveal
揭露	reveal
经济	economy
节约	economy
节省	economy
韵律	rhythm
格律	rhythm
节奏	rhythm
织物	fabric
纺织品	fabric
结构	fabric
框架	framework
构架	framework
结构	framework
机器	machinery
机关	machinery
结构	machinery
成果	result
发生	result
结果	result
娶	marry
嫁	marry
结婚	marry
关	close
闭	close
结束	close
末端	end
目标	end
结束	end
完成	finish
结束	finish
结论	conclusion
推论	conclusion
结尾	conclusion
决定	decide
决心	decide
解决	decide
解答	solve
解释	solve
解决	solve
分析	analyse
分解	analyse
解析	analyse
分析	analysis
分解	analysis
解析	analysis
王国	kingdom
领域	kingdom
界	kingdom
贷款	loan
暂借	loan
借出	loan
原谅	excuse
免除	excuse
借口	excuse
借	borrow
借用	borrow
借人	borrow
因此	hence
所以	hence
今后	hence
金	gold
钱财	gold
金制的	gold
利益	benefit
恩惠	benefit
津贴	benefit
握紧	grip
抓牢	grip
紧握	grip
前进	gress
进展	gress
进步	gress
追赶	pursue
追踪	pursue
进行	pursue
收入	income
收益	income
进款	income
承认	admit
准许	admit
进入	admit
入口	entrance
门口	entrance
进入	entrance
入口处	entry
登记	entry
进入	entry
进	into
入	into
进入到	into
前进	advance
提高	advance
进展	advance
近	near
接近	near
近的	near
郊区	suburb
郊外	suburb
近郊	suburb
浸	soak
泡	soak
浸泡	soak
浸	dip
蘸	dip
浸一浸	dip
背景	background
后景	background
经历	background
生涯	career
职业	career
经历	career
经验	experience
感受	experience
经历	experience
唤醒	rouse
唤起	rouse
惊起	rouse
水晶	crystal
结晶体	crystal
晶粒	crystal
精确	precision
精密	precision
精密度	precision
选择	selection
挑选	selection
精选物	selection
惊恐	alarm
忧虑	alarm
警报	alarm
保护	tect
保卫	tect
警戒	tect
比赛	race
竞赛	race
